FID,LE_ID,ENGLISH,COUNTY,GUID,Pop2016,C19_P14_T,P14_100k,P14_100k_T,Ire_IncP14,EventDate
94,13150405,SWINFORD LEA-4,MAYO,2ae19629-3ef4-13a3-e055-999110000001,17286,18,104.1,104.1,279.3,2020/10/19 00:00:00+00
95,1370404,CORCA DHUIBHNE LEA-3,KERRY,2ae19629-3ef4-13a3-e055-883360000001,14181,10,70.5,70.5,279.3,2020/10/19 00:00:00+00
96,13150404,WESTPORT LEA-4,MAYO,2ae19629-3ef4-13a3-e055-111110000001,18378,42,228.5,228.5,279.3,2020/10/19 00:00:00+00
97,13110402,CARRICK-ON-SHANNON LEA-6,LEITRIM,2ae19629-3f06-13a3-e055-000000000001,11361,45,396.1,396.1,279.3,2020/10/19 00:00:00+00
98,13260408,KILLINEY-SHANKILL LEA-7,DUBLIN,2ae19629-3f40-13a3-e055-000000000001,38082,40,105,105,279.3,2020/10/19 00:00:00+00
99,13260415,TALLAGHT SOUTH LEA-5,DUBLIN,2ae19629-3f54-13a3-e055-000000000001,35465,104,293.2,293.2,279.3,2020/10/19 00:00:00+00
100,13210407,CAHIR LEA-4,TIPPERARY,2ae19629-3ef4-13a3-e055-000005400001,14717,21,142.7,142.7,279.3,2020/10/19 00:00:00+00
101,13260407,GLENCULLEN-SANDYFORD LEA-7,DUBLIN,2ae19629-3f3f-13a3-e055-000000000001,36622,28,76.5,76.5,279.3,2020/10/19 00:00:00+00
102,13260429,ARTANE-WHITEHALL LEA-6,DUBLIN,2ae19629-3ef4-13a3-e055-000005200001,51156,194,379.2,379.2,279.3,2020/10/19 00:00:00+00
103,13170401,CARRICKMACROSS-CASTLEBLAYNEY LEA-6,MONAGHAN,2ae19629-3f1f-13a3-e055-000000000001,21436,66,307.9,307.9,279.3,2020/10/19 00:00:00+00
104,13200401,SLIGO-DRUMCLIFF LEA-5,SLIGO,2ae19629-3f28-13a3-e055-000000000001,17675,60,339.5,339.5,279.3,2020/10/19 00:00:00+00
105,13260401,SWORDS LEA-7,DUBLIN,2ae19629-3ef8-13a3-e055-000000000001,51370,128,249.2,249.2,279.3,2020/10/19 00:00:00+00
106,1330402,SHANNON LEA-7,CLARE,2ae19629-3f61-13a3-e055-000000000001,30397,128,421.1,421.1,279.3,2020/10/19 00:00:00+00
107,1340413,CORK CITY SOUTH CENTRAL LEA-6,CORK,2ae19629-3ef4-13a3-e055-000001100001,38667,311,804.3,804.3,279.3,2020/10/19 00:00:00+00
108,13260418,ONGAR LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-000002200001,35834,102,284.6,284.6,279.3,2020/10/19 00:00:00+00
109,1340406,BANTRY-WEST CORK LEA-4,CORK,2ae19629-3f41-13a3-e055-000000000001,22424,51,227.4,227.4,279.3,2020/10/19 00:00:00+00
110,1330403,ENNIS LEA-7,CLARE,2ae19629-3f62-13a3-e055-000000000001,30910,143,462.6,462.6,279.3,2020/10/19 00:00:00+00
